Tez No,Yazar,Yıl,Tez Adı,Üniversite,Dil,Tez Türü,Konu
911201,MUHAMMET ALİ KAYA,2024,Sağlık işletmelerinde veri madenciliği ile hasta profillerinin tespiti için bir simülasyon uygulaması,Necmettin Erbakan Üniversitesi,Türkçe,Yüksek Lisans,İşletme = Business Administration
849096,MOHAMMED DAHAN AHMED ABDULRAB AL-WAJIH,2024,Çevrimiçi yemek siparişinde veri madenciliği ve istatistiksel yöntemler ile tüketici algı ve beklentilerini etkileyen faktörlerin araştırılması,Karabük Üniversitesi,Türkçe,Yüksek Lisans,Endüstri ve Endüstri Mühendisliği = Industrial and Industrial Engineering
850221,ENVER ENGÜR,2024,Veri madenciliğinde sınıflandırma problemleri için optimizasyon yaklaşımları,Erciyes Üniversitesi,Türkçe,Doktora,Endüstri ve Endüstri Mühendisliği = Industrial and Industrial Engineering
851202,FEVZİ KARACA,2024,Öğrencilerin teknoloji kullanımı alışkanlıklarının ve bilişim okuryazarlıklarının PISA test sonuçlarıyla olan ilişkisinin veri madenciliği yöntemleriyle incelenmesi,Burdur Mehmet Akif Ersoy Üniversitesi,Türkçe,Yüksek Lisans,Eğitim ve Öğretim = Education and Training ; Yönetim Bilişim Sistemleri = Management Information Systems
852892,İSMAİL BURAK AKINCI,2024,"Demir çelik sektöründeki ürünlerin görüntü işleme, veri madenciliği yöntemleriyle tespiti ve karar destek sisteminin oluşturulması",Karabük Üniversitesi,Türkçe,Doktora,Endüstri ve Endüstri Mühendisliği = Industrial and Industrial Engineering
853217,BÜŞRA TUNÇMAN,2024,Tekstil sektöründe iş kazalarına neden olan risk faktörlerinin veri madenciliği yöntemleriyle değerlendirilmesi,Bursa Uludağ Üniversitesi,Türkçe,Yüksek Lisans,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control ; Bilim ve Teknoloji = Science and Technology ; Endüstri ve Endüstri Mühendisliği = Industrial and Industrial Engineering
853234,COŞKAN SEVGİLİ,2024,Gemi denetim sonuçlarının veri madenciliği yöntemleriyle analizi: Türk bayraklı gemiler üzerine bir uygulama,Dokuz Eylül Üniversitesi,Türkçe,Doktora,Denizcilik = Marine ; Gemi Mühendisliği = Marine Engineering
848444,AYŞE SEDA BALKAN,2024,Türkiye\'de konut satış sayılarının veri madenciliği yöntemleri ile tahmini,Toros Üniversitesi,Türkçe,Yüksek Lisans,Mimarlık = Architecture
855245,EMRE TURGUT,2024,Kentsel dönüşüm uygulamalarında daire belirleme işlemlerinin mekânsal veri madenciliği yöntemleri ile belirlenmesi,Kayseri Üniversitesi,Türkçe,Yüksek Lisans,Mühendislik Bilimleri = Engineering Sciences
855658,DAMLA HALATCI,2024,Veri madenciliği yöntemlerinin diyabet tahmininde kullanılması,Bahçeşehir Üniversitesi,Türkçe,Yüksek Lisans,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control
